Description,Retail UPC,Retail,Price
BASIC BLUE BOX,28200305022,5.97,54.03
BASIC BLUE 100,28200304926,5.97,54.03
BASIC BLUE 100 BOX,28200303622,5.97,54.03
BASIC BOX,28200303721,5.97,54.03
BASIC GOLD,28200304124,5.97,54.03
BASIC GOLD BOX,28200304322,5.97,54.03
BASIC GOLD MEN BOX,28200304223,5.97,54.03
BASIC GOLD MEN 100 BX,28200304520,5.97,54.03
BASIC GOLD 100 BOX,28200304629,5.97,54.03
BASIC KING,28200303523,5.97,54.03
BASIC MENTHOL,28200305220,5.97,53.28
BASIC MENTHOL BOX,28200305329,5.97,54.03
BASIC MENTHOL 100 BX,28200303929,5.97,54.03
BASIC NON FILTER,28200305428,5.97,54.03
BASIC SILVER MEN BOX,28200305121,5.97,54.03
BASIC SILVER MN 100BX,28200304827,5.97,54.03
BASIC 100,28200303820,5.97,54.03
BASIC 100 BOX,28200304025,5.97,54.03
CAMEL BLUE,12300000048,5.34,54.88
CAMEL BLUE BOX,12300000079,5.34,54.88
CAMEL BLUE BX 75¢/1PK,12300367493,4.59,54.88
CAMEL BLUE99BX 75¢/1PK,12300118835,4.59,47.38
CAMEL CRUSH,12300197410,5.09,54.88
CAMEL CRUSH BLD 75¢/1PK,12300502719,4.34,54.88
CAMEL CRUSH BOLD,12300199407,5.09,54.88
CAMEL CRUSH MEN BOX,12300000932,5.09,54.88
CAMEL CRUSH SIL MN BX,12300000949,5.09,54.88
CAMEL CRUSH 75¢/1PK,12300502689,4.34,54.88
CAMEL CRUSH 75¢/1PK,12300502689,4.34,47.38
CAMEL FF 99 BOX,12300200592,5.34,54.88
CAMEL FILT BX 75¢/1PK,12300367462,4.59,54.88
CAMEL FILT BX 75¢/1PK,12300367462,4.59,47.38
CAMEL FILTER,12300102131,5.34,54.88
CAMEL FILTER BOX,12300000031,5.34,54.88
CAMEL MEN BX 75¢/1PK,12300502573,4.34,54.88
CAMEL MEN BX 75¢/1PK,12300502573,4.34,47.38
CAMEL NO 9 BOX,12300356916,5.34,54.88
CAMEL NO 9 100 BOX,12300351065,5.34,54.88
CAMEL PLATINUM BOX,12300200158,5.34,54.88
CAMEL REGULAR,12300000017,7.57,69.08
CAMEL SILMNBX 75¢/1PK,12300502603,4.34,54.88
CAMEL SILMNBX 75¢/1PK,12300502603,4.34,47.38
CAMEL TURK GOLD BOX,12300265706,5.34,54.88
CAMEL TURK ROYAL BOX,12300302883,5.34,54.88
CAMEL TURK SILVER BOX,12300327909,5.34,54.88
CAMEL WHI MELLOW 75¢/1PK,12300510172,4.34,54.88
CAMEL WHI MELLOW 75¢/1PK,12300510172,4.34,47.38
CAMEL WHI MENTHOL 75¢/1PK,12300510202,4.34,54.88
CAMEL WHI MENTHOL 75¢/1PK,12300510202,4.34,47.38
CAMEL WHITE MELLOW BOX,12300266000,5.09,54.88
CAMEL WHITE MEN BOX,12300266031,5.09,54.88
CAMEL WIDE BLUE BOX,12300708999,5.34,54.88
CAMEL WIDE GRN MN BOX,12300340830,5.34,54.88
CAMEL WIDE KING BOX,12300707992,5.34,54.88
CAMEL WIDE MEN BOX,12300340786,5.34,54.88
CAMEL 99 BLUE BOX,12300200608,5.34,54.88
CAMEL 99 BOX 75¢/1PK,12300118804,4.59,54.88
CAMEL 99 BOX 75¢/1PK,12300118804,4.59,47.38
DORAL GOLD BOX,12300841993,5.57,50.64
DORAL GOLD MEN BOX,12300842990,5.57,50.64
DORAL GOLD MN 100 BOX,12300000581,5.57,50.64
DORAL GOLD 100 BOX,12300220828,5.57,50.64
DORAL MEN BOX,12300232838,5.57,50.64
DORAL MEN 100 BOX,12300839990,5.57,50.64
DORAL RED BOX,12300840996,5.57,50.64
DORAL RED 100 BOX,12300220798,5.57,50.64
DORAL SILVER BOX,12300844994,5.57,50.64
DORAL SILVER 100 BOX,12300845991,5.57,50.64
KOOL BLUE BOX,27200002320,5.74,54.88
KOOL BLUE 100 BOX,27200005970,5.74,54.88
KOOL KING,27200002535,5.74,54.88
KOOL KING BOX,27200002528,5.74,54.88
KOOL XL BLUE,27200005673,5.74,54.88
KOOL XL GREEN,27200005567,5.74,54.88
KOOL 100 BOX,27200005598,5.74,54.88
L & M BLUE BOX,28200310026,4.64,51.27
L & M BLUE BOX,28200310026,4.64,50.47
L & M BLUE 100 BOX,28200310224,4.64,51.27
L & M BLUE 100 BOX,28200310224,4.64,50.47
L & M BOLD KING BOX,28200315526,4.64,0
L & M BOLD 100 BOX,28200315625,4.64,0
L & M BOX,28200309822,4.64,51.27
L & M BOX,28200309822,4.64,50.47
L & M MENTHOL BOX,28200310323,4.64,51.27
L & M MENTHOL BOX,28200310323,4.64,50.47
L & M MENTHOL 100 BOX,28200310422,4.64,51.27
L & M MENTHOL 100 BOX,28200310422,4.64,50.47
L & M TURKISH BOX,28200313928,4.64,51.27
L & M TURKISH BOX,28200313928,4.64,50.47
